SMXSG    ;3;083000;3;172500;1
SMXSG    ;3;175000;4;051500;1
SMXSG    ;4;083000;4;172500;1
SMXSG    ;4;175000;5;051500;1
SMXSG    ;5;083000;5;172500;1
SMXSG    ;5;175000;6;051500;1
SMXTW    ;1;084500;1;135000;1
SMXTW    ;1;141500;2;051500;1
SMXTW    ;2;084500;2;135000;1
SMXTW    ;2;141500;3;051500;1
SMXTW    ;3;084500;3;135000;1
SMXTW    ;3;141500;4;051500;1
SMXTW    ;4;084500;4;135000;1
SMXTW    ;4;141500;5;051500;1
SMXTW    ;5;084500;5;135000;1
SMXTW    ;5;141500;6;051500;1
SMXUC    ;1;070000;1;175500;1
SMXUC    ;1;181500;2;051500;1
SMXUC    ;2;070000;2;175500;1
SMXUC    ;2;181500;3;051500;1
SMXUC    ;3;070000;3;175500;1
SMXUC    ;3;181500;4;051500;1
SMXUC    ;4;070000;4;175500;1
SMXUC    ;4;181500;5;051500;1
SMXUC    ;5;070000;5;175500;1
SMXUC    ;5;181500;6;051500;1
TCE      ;1;084500;1;151500;1
TCE      ;1;163000;2;060000;1
TCE      ;2;084500;2;151500;1
TCE      ;2;163000;3;060000;1
TCE      ;3;084500;3;151500;1
TCE      ;3;163000;4;060000;1
TCE      ;4;084500;4;151500;1
TCE      ;4;163000;5;060000;1
TCE      ;5;084500;5;151500;1
TCE      ;5;163000;6;060000;1
TCEJRU   ;1;084500;1;151500;1
TCEJRU   ;1;163000;1;190000;1
TCEJRU   ;2;084500;2;151500;1
TCEJRU   ;2;163000;2;190000;1
TCEJRU   ;3;084500;3;151500;1
TCEJRU   ;3;163000;3;190000;1
TCEJRU   ;4;084500;4;151500;1
TCEJRU   ;4;163000;4;190000;1
TCEJRU   ;5;084500;5;151500;1
TCEJRU   ;5;163000;5;190000;1
URX      ;1;010000;1;220000;1
URX      ;2;010000;2;220000;1
URX      ;3;010000;3;220000;1
URX      ;4;010000;4;220000;1
URX      ;5;010000;5;220000;1
URXEQ    ;1;075000;1;220000;1
URXEQ    ;2;075000;2;220000;1
URXEQ    ;3;075000;3;220000;1
URXEQ    ;4;075000;4;220000;1
URXEQ    ;5;075000;5;220000;1
URXFTX   ;1;084500;1;210000;1
URXFTX   ;2;084500;2;210000;1
URXFTX   ;3;084500;3;210000;1
URXFTX   ;4;084500;4;210000;1
URXFTX   ;5;084500;5;210000;1
URXIR    ;1;080000;1;220000;1
URXIR    ;2;080000;2;220000;1
URXIR    ;3;080000;3;220000;1
URXIR    ;4;080000;4;220000;1
URXIR    ;5;080000;5;220000;1
URXIR2   ;1;080000;1;190000;1
URXIR2   ;2;080000;2;190000;1
URXIR2   ;3;080000;3;190000;1
URXIR2   ;4;080000;4;190000;1
URXIR2   ;5;080000;5;190000;1
